|6.6.6
h2o_1E-14_3.tab                                                                                     
           2
f_CO2   
  -12.000000000000000     
   4.1139240506329111E-002
         317
f_O2    
  -110.00000000000000     
  0.34810126582278483     
         317
           8
f_CO2          f_O2           MgO,wt%        FeO,wt%        SiO2,wt%       H2O,wt%        O2,wt%         CO2,wt%       
 -6.07595       -110.000        23.4832        27.9067        29.1734        0.00000       -6.21239        25.6491     
 -6.03481       -110.000        23.4830        27.9064        29.1731        0.00000       -6.21206        25.6495     
 -5.99367       -110.000        23.4827        27.9061        29.1728        0.00000       -6.21172        25.6500     
 -5.95253       -110.000        23.4825        27.9059        29.1725        0.00000       -6.21138        25.6505     
 -5.91139       -110.000        23.4823        27.9056        29.1722        0.00000       -6.21104        25.6510     
 -5.87025       -110.000        23.4819        27.9052        29.1718        0.00000       -6.21055        25.6517     
 -5.82911       -110.000        23.4816        27.9047        29.1713        0.00000       -6.21006        25.6524     
 -5.78797       -110.000        23.4812        27.9043        29.1709        0.00000       -6.20957        25.6531     
 -5.74684       -110.000        23.4809        27.9039        29.1705        0.00000       -6.20908        25.6539     
 -5.70570       -110.000        23.4803        27.9033        29.1698        0.00000       -6.20836        25.6549     
 -5.66456       -110.000        23.4798        27.9027        29.1692        0.00000       -6.20764        25.6560     
 -5.62342       -110.000        23.4793        27.9021        29.1685        0.00000       -6.20692        25.6570     
 -5.58228       -110.000        23.4788        27.9015        29.1679        0.00000       -6.20620        25.6580     
 -5.54114       -110.000        23.4780        27.9006        29.1670        0.00000       -6.20514        25.6596     
 -5.50000       -110.000        23.4773        27.8997        29.1660        0.00000       -6.20409        25.6611     
 -5.45886       -110.000        23.4765        27.8988        29.1651        0.00000       -6.20304        25.6626     
 -5.41772       -110.000        23.4758        27.8979        29.1642        0.00000       -6.20199        25.6641     
 -5.37658       -110.000        23.4747        27.8966        29.1628        0.00000       -6.20045        25.6664     
 -5.33544       -110.000        23.4736        27.8953        29.1614        0.00000       -6.19892        25.6686     
 -5.29430       -110.000        23.4725        27.8940        29.1601        0.00000       -6.19738        25.6708     
 -5.25316       -110.000        23.4714        27.8927        29.1587        0.00000       -6.19585        25.6731     
 -5.21203       -110.000        23.4698        27.8908        29.1567        0.00000       -6.19360        25.6763     
 -5.17089       -110.000        23.4682        27.8889        29.1547        0.00000       -6.19135        25.6796     
 -5.12975       -110.000        23.4666        27.8869        29.1527        0.00000       -6.18911        25.6828     
 -5.08861       -110.000        23.4650        27.8850        29.1507        0.00000       -6.18686        25.6861     
 -5.04747       -110.000        23.4626        27.8823        29.1478        0.00000       -6.18357        25.6909     
 -5.00633       -110.000        23.4603        27.8795        29.1449        0.00000       -6.18029        25.6956     
 -4.96519       -110.000        23.4579        27.8767        29.1420        0.00000       -6.17700        25.7004     
 -4.92405       -110.000        23.4556        27.8739        29.1391        0.00000       -6.17372        25.7052     
 -4.88291       -110.000        23.4522        27.8698        29.1348        0.00000       -6.16891        25.7121     
 -4.84177       -110.000        23.4487        27.8657        29.1305        0.00000       -6.16410        25.7191     
 -4.80063       -110.000        23.4453        27.8616        29.1263        0.00000       -6.15930        25.7261     
 -4.75949       -110.000        23.4419        27.8576        29.1220        0.00000       -6.15449        25.7330     
 -4.71835       -110.000        23.4368        27.8516        29.1158        0.00000       -6.14745        25.7433     
 -4.67722       -110.000        23.4318        27.8456        29.1095        0.00000       -6.14040        25.7535     
 -4.63608       -110.000        23.4268        27.8396        29.1033        0.00000       -6.13336        25.7637     
 -4.59494       -110.000        23.4217        27.8337        29.0970        0.00000       -6.12633        25.7739     
 -4.55380       -110.000        23.4144        27.8249        29.0879        0.00000       -6.11600        25.7889     
 -4.51266       -110.000        23.4070        27.8161        29.0787        0.00000       -6.10567        25.8039     
 -4.47152       -110.000        23.3996        27.8074        29.0695        0.00000       -6.09536        25.8188     
 -4.43038       -110.000        23.3923        27.7986        29.0604        0.00000       -6.08505        25.8338     
 -4.38924       -110.000        23.3814        27.7857        29.0469        0.00000       -6.06986        25.8558     
 -4.34810       -110.000        23.3706        27.7728        29.0334        0.00000       -6.05468        25.8778     
 -4.30696       -110.000        23.3597        27.7600        29.0200        0.00000       -6.03952        25.8998     
 -4.26582       -110.000        23.3489        27.7471        29.0066        0.00000       -6.02438        25.9218     
 -4.22468       -110.000        23.3329        27.7281        28.9867        0.00000       -6.00199        25.9543     
 -4.18354       -110.000        23.3169        27.7091        28.9668        0.00000       -5.97963        25.9867     
 -4.14241       -110.000        23.2984        27.6871        28.9438        0.00000       -5.95368        26.0244     
 -4.10127       -110.000        23.2851        27.6712        28.9272        0.00000       -5.93500        26.0515     
 -4.06013       -110.000        23.2555        27.6360        28.8904        0.00000       -5.89354        26.1116     
 -4.01899       -110.000        23.1986        27.5685        28.8198        0.00000       -5.81398        26.2270     
 -3.97785       -110.000        23.1738        27.5390        28.7890        0.00000       -5.77917        26.2775     
 -3.93671       -110.000        23.1907        27.5591        28.8100        0.00000       -5.80287        26.2431     
 -3.89557       -110.000        23.0973        27.4482        28.6940        0.00000       -5.67221        26.4327     
 -3.85443       -110.000        23.0602        27.4040        28.6478        0.00000       -5.62016        26.5082     
 -3.81329       -110.000        23.0793        27.4268        28.6717        0.00000       -5.64700        26.4693     
 -3.77215       -110.000        23.0502        27.3922        28.6355        0.00000       -5.60627        26.5283     
 -3.73101       -110.000        22.9825        27.3117        28.5514        0.00000       -5.51145        26.6659     
 -3.68987       -110.000        22.9152        27.2317        28.4677        0.00000       -5.41719        26.8026     
 -3.64873       -110.000        22.8482        27.1521        28.3846        0.00000       -5.32348        26.9386     
 -3.60759       -110.000        22.8396        27.1418        28.3738        0.00000       -5.31135        26.9562     
 -3.56646       -110.000        22.7155        26.9944        28.2197        0.00000       -5.13769        27.2081     
 -3.52532       -110.000        22.4396        26.6665        27.8768        0.00000       -4.75137        27.7685     
 -3.48418       -110.000        22.3409        26.5492        27.7543        0.00000       -4.61327        27.9689     
 -3.44304       -110.000        22.5193        26.7612        27.9759        0.00000       -4.86302        27.6065     
 -3.40190       -110.000        22.3346        26.5418        27.7465        0.00000       -4.60449        27.9816     
 -3.36076       -110.000        22.1194        26.2860        27.4791        0.00000       -4.30316        28.4187     
 -3.31962       -110.000        21.6909        25.7768        26.9468        0.00000       -3.70337        29.2888     
 -3.27848       -110.000        22.0227        26.1711        27.3590        0.00000       -4.16789        28.6150     
 -3.23734       -110.000        21.2176        25.2144        26.3588        0.00000       -3.04080        30.2500     
 -3.19620       -110.000        21.6739        25.7566        26.9257        0.00000       -3.67956        29.3234     
 -3.15506       -110.000        21.1791        25.1685        26.3109        0.00000       -2.98680        30.3283     
 -3.11392       -110.000        21.2286        25.2274        26.3725        0.00000       -3.05615        30.2277     
 -3.07278       -110.000        20.9595        24.9076        26.0382        0.00000       -2.67946        30.7742     
 -3.03165       -110.000        20.6523        24.5425        25.6565        0.00000       -2.24937        31.3981     
 -2.99051       -110.000        20.2997        24.1235        25.2185        0.00000       -1.75582        32.1141     
 -2.94937       -110.000        19.8932        23.6404        24.7135        0.00000       -1.18670        32.9397     
 -2.90823       -110.000        19.4214        23.0798        24.1274        0.00000      -0.526321        33.8977     
 -2.86709       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -2.82595       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -2.78481       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -2.74367       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -2.70253       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -2.66139       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -2.62025       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -2.57911       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -2.53797       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -2.49684       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -2.45570       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -2.41456       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -2.37342       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -2.33228       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -2.29114       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -2.25000       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -2.20886       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -2.16772       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -2.12658       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -2.08544       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -2.04430       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -2.00316       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -1.96203       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -1.92089       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -1.87975       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -1.83861       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -1.79747       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -1.75633       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -1.71519       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -1.67405       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -1.63291       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -1.59177       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -1.55063       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -1.50949       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -1.46835       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -1.42722       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
