|6.6.6
h2o_1E-14_3.tab                                                                                     
           2
f_CO2   
  -12.000000000000000     
   4.1139240506329111E-002
         317
f_O2    
  -110.00000000000000     
  0.34810126582278483     
         317
           5
f_CO2          f_O2           C[O(HP)1]      C[Opx(HP)2]    C[Cc(AE)3]    
 -11.0949       -109.652       0.999996       0.999991                 NaN
 -11.0538       -109.652       0.999996       0.999991                 NaN
 -11.0127       -109.652       0.999997       0.999993                 NaN
 -10.9715       -109.652       0.999997       0.999993                 NaN
 -10.9304       -109.652       0.999996       0.999991                 NaN
 -10.8892       -109.652       0.999996       0.999991                 NaN
 -10.8481       -109.652       0.999996       0.999991                 NaN
 -10.8070       -109.652       0.999996       0.999991                 NaN
 -10.7658       -109.652       0.999996       0.999991                 NaN
 -10.7247       -109.652       0.999996       0.999991                 NaN
 -10.6835       -109.652       0.999997       0.999993                 NaN
 -10.6424       -109.652       0.999997       0.999993                 NaN
 -10.6013       -109.652       0.999996       0.999991                 NaN
 -10.5601       -109.652       0.999996       0.999991                 NaN
 -10.5190       -109.652       0.999996       0.999991                 NaN
 -10.4778       -109.652       0.999996       0.999991                 NaN
 -10.4367       -109.652       0.999996       0.999991                 NaN
 -10.3956       -109.652       0.999996       0.999991                 NaN
 -10.3544       -109.652       0.999997       0.999993                 NaN
 -10.3133       -109.652       0.999997       0.999993                 NaN
 -10.2722       -109.652       0.999996       0.999991                 NaN
 -10.2310       -109.652       0.999996       0.999991                 NaN
 -10.1899       -109.652       0.999996       0.999991                 NaN
 -10.1487       -109.652       0.999996       0.999991                 NaN
 -10.1076       -109.652       0.999996       0.999991                 NaN
 -10.0665       -109.652       0.999996       0.999991                 NaN
 -10.0253       -109.652       0.999997       0.999993                 NaN
 -9.98418       -109.652       0.999997       0.999993                 NaN
 -9.94304       -109.652       0.999996       0.999991                 NaN
 -9.90190       -109.652       0.999996       0.999991                 NaN
 -9.86076       -109.652       0.999996       0.999991                 NaN
 -9.81962       -109.652       0.999996       0.999991                 NaN
 -9.77848       -109.652       0.999996       0.999991                 NaN
 -9.73734       -109.652       0.999996       0.999991                 NaN
 -9.69620       -109.652       0.999997       0.999993                 NaN
 -9.65506       -109.652       0.999997       0.999993                 NaN
 -9.61392       -109.652       0.999996       0.999991                 NaN
 -9.57278       -109.652       0.999996       0.999991                 NaN
 -9.53165       -109.652       0.999996       0.999991                 NaN
 -9.49051       -109.652       0.999998       0.999996                 NaN
 -9.44937       -109.652       0.999998       0.999996                 NaN
 -9.40823       -109.652       0.999996       0.999991                 NaN
 -9.36709       -109.652       0.999997       0.999993                 NaN
 -9.32595       -109.652       0.999997       0.999993                 NaN
 -9.28481       -109.652       0.999998       0.999996                 NaN
 -9.24367       -109.652       0.999996       0.999991                 NaN
 -9.20253       -109.652       0.999996       0.999991                 NaN
 -9.16139       -109.652       0.999996       0.999991                 NaN
 -9.12025       -109.652       0.999996       0.999991                 NaN
 -9.07911       -109.652       0.999996       0.999991                 NaN
 -9.03797       -109.652       0.999997       0.999993                 NaN
 -8.99684       -109.652       0.999997       0.999993                 NaN
 -8.95570       -109.652       0.999996       0.999991                 NaN
 -8.91456       -109.652       0.999996       0.999991                 NaN
 -8.87342       -109.652       0.999996       0.999991                 NaN
 -8.83228       -109.652       0.999996       0.999991                 NaN
 -8.79114       -109.652       0.999996       0.999991                 NaN
 -8.75000       -109.652       0.999996       0.999991                 NaN
 -8.70886       -109.652       0.999997       0.999993                 NaN
 -8.66772       -109.652       0.999997       0.999993                 NaN
 -8.62658       -109.652       0.999996       0.999991                 NaN
 -8.58544       -109.652       0.999996       0.999991                 NaN
 -8.54430       -109.652       0.999996       0.999991                 NaN
 -8.50316       -109.652       0.999996       0.999991                 NaN
 -8.46203       -109.652       0.999996       0.999991                 NaN
 -8.42089       -109.652       0.999996       0.999991                 NaN
 -8.37975       -109.652       0.999997       0.999993                 NaN
 -8.33861       -109.652       0.999997       0.999993                 NaN
 -8.29747       -109.652       0.999998       0.999995                 NaN
 -8.25633       -109.652       0.999998       0.999996                 NaN
 -8.21519       -109.652       0.999998       0.999995                 NaN
 -8.17405       -109.652       0.999998       0.999996                 NaN
 -8.13291       -109.652       0.999998       0.999996                 NaN
 -8.09177       -109.652       0.999996       0.999991                 NaN
 -8.05063       -109.652       0.999998       0.999996                 NaN
 -8.00949       -109.652       0.999998       0.999996                 NaN
 -7.96835       -109.652       0.999998       0.999996                 NaN
 -7.92722       -109.652                 NaN  0.999996       0.999995     
 -7.88608       -109.652                 NaN  0.999995       0.999992     
 -7.84494       -109.652                 NaN  0.999987       0.999981     
 -7.80380       -109.652                 NaN  0.999987       0.999981     
 -7.76266       -109.652                 NaN  0.999987       0.999980     
 -7.72152       -109.652                 NaN  0.999992       0.999989     
 -7.68038       -109.652                 NaN  0.999986       0.999979     
 -7.63924       -109.652                 NaN  0.999986       0.999979     
 -7.59810       -109.652                 NaN  0.999989       0.999984     
 -7.55696       -109.652                 NaN  0.999989       0.999983     
 -7.51582       -109.652                 NaN  0.999988       0.999982     
 -7.47468       -109.652                 NaN  0.999988       0.999981     
 -7.43354       -109.652                 NaN  0.999984       0.999977     
 -7.39241       -109.652                 NaN  0.999984       0.999976     
 -7.35127       -109.652                 NaN  0.999983       0.999974     
 -7.31013       -109.652                 NaN  0.999982       0.999973     
 -7.26899       -109.652                 NaN  0.999977       0.999966     
 -7.22785       -109.652                 NaN  0.999976       0.999964     
 -7.18671       -109.652                 NaN  0.999975       0.999962     
 -7.14557       -109.652                 NaN  0.999872       0.999809     
 -7.10443       -109.652                 NaN  0.999871       0.999806     
 -7.06329       -109.652                 NaN  0.999869       0.999804     
 -7.02215       -109.652                 NaN  0.999868       0.999802     
 -6.98101       -109.652                 NaN  0.999865       0.999798     
 -6.93987       -109.652                 NaN  0.999863       0.999796     
 -6.89873       -109.652                 NaN  0.999949       0.999924     
 -6.85759       -109.652                 NaN  0.999958       0.999937     
 -6.81646       -109.652                 NaN            NaN  0.999876     
 -6.77532       -109.652                 NaN            NaN  0.999772     
 -6.73418       -109.652                 NaN            NaN  0.999889     
 -6.69304       -109.652                 NaN            NaN  0.999759     
 -6.65190       -109.652                 NaN            NaN  0.999876     
 -6.61076       -109.652                 NaN            NaN  0.999844     
 -6.56962       -109.652                 NaN            NaN  0.999837     
 -6.52848       -109.652                 NaN            NaN  0.999828     
 -6.48734       -109.652                 NaN            NaN  0.999819     
 -6.44620       -109.652                 NaN            NaN  0.999772     
 -6.40506       -109.652                 NaN            NaN  0.999762     
 -6.36392       -109.652                 NaN            NaN  0.999749     
 -6.32278       -109.652                 NaN            NaN  0.999735     
 -6.28165       -109.652                 NaN            NaN  0.999667     
 -6.24051       -109.652                 NaN            NaN  0.999653     
 -6.19937       -109.652                 NaN            NaN  0.999633     
 -6.15823       -109.652                 NaN            NaN  0.999613     
 -6.11709       -109.652                 NaN            NaN  0.999513     
 -6.07595       -109.652                 NaN            NaN  0.999493     
 -6.03481       -109.652                 NaN            NaN  0.999464     
 -5.99367       -109.652                 NaN            NaN  0.999434     
 -5.95253       -109.652                 NaN            NaN  0.999289     
 -5.91139       -109.652                 NaN            NaN  0.999259     
 -5.87025       -109.652                 NaN            NaN  0.999217     
 -5.82911       -109.652                 NaN            NaN  0.999174     
 -5.78797       -109.652                 NaN            NaN  0.998961     
 -5.74684       -109.652                 NaN            NaN  0.998918     
 -5.70570       -109.652                 NaN            NaN  0.998855     
 -5.66456       -109.652                 NaN            NaN  0.998793     
 -5.62342       -109.652                 NaN            NaN  0.998481     
 -5.58228       -109.652                 NaN            NaN  0.998418     
 -5.54114       -109.652                 NaN            NaN  0.998327     
 -5.50000       -109.652                 NaN            NaN  0.998236     
 -5.45886       -109.652                 NaN            NaN  0.997780     
 -5.41772       -109.652                 NaN            NaN  0.997689     
 -5.37658       -109.652                 NaN            NaN  0.997556     
 -5.33544       -109.652                 NaN            NaN  0.997422     
 -5.29430       -109.652                 NaN            NaN  0.996754     
 -5.25316       -109.652                 NaN            NaN  0.996621     
 -5.21203       -109.652                 NaN            NaN  0.996427     
 -5.17089       -109.652                 NaN            NaN  0.996233     
 -5.12975       -109.652                 NaN            NaN  0.995253     
 -5.08861       -109.652                 NaN            NaN  0.995059     
 -5.04747       -109.652                 NaN            NaN  0.994775     
 -5.00633       -109.652                 NaN            NaN  0.994492     
 -4.96519       -109.652                 NaN            NaN  0.960263     
 -4.92405       -109.652                 NaN            NaN  0.955109     
 -4.88291       -109.652                 NaN            NaN  0.949114     
 -4.84177       -109.652                 NaN            NaN  0.941967     
 -4.80063       -109.652                 NaN            NaN  0.933501     
 -4.75949       -109.652                 NaN            NaN  0.928480     
 -4.71835       -109.652                 NaN            NaN  0.928090     
 -4.67722       -109.652                 NaN            NaN  0.927561     
